timestamp(ms),Angle,AnglePostKalmanFilter,
"1716052886.085","91.8",,
"1716052886.117",,"37.11",
"1716052886.133","90.51",,
"1716052886.165","89.69","38.75",
"1716052886.197",,"40.32",
"1716052886.213","87.36",,
"1716052886.245",,"41.87",
"1716052886.261","93.53",,
"1716052886.293",,"43.51",
"1716052886.309","90.76",,
"1716052886.341",,"45.09",
"1716052886.357","90.1",,
"1716052886.389",,"46.66",
"1716052886.405","90.27",,
"1716052886.437",,"48.26",
"1716052886.453","92.03",,
"1716052886.485","91.47","50.06",
"1716052886.517",,"51.81",
"1716052886.533","89.17",,
"1716052886.565",,"53.28",
"1716052886.581","90.42",,
"1716052886.613",,"54.93",
"1716052886.629","90.67",,
"1716052886.661",,"56.7",
"1716052886.677","89.47",,
"1716052886.709",,"58.04",
"1716052886.725","88.98",,
"1716052886.757",,"58.88",
"1716052886.773","93.32",,
"1716052886.805",,"61.3",
"1716052886.821","89.46",,
"1716052886.837",,"63.48",
"1716052886.853","86.58",,
"1716052886.884",,"63.89",
"1716052886.901","90.93",,
"1716052886.933",,"64.72",
"1716052886.949","93.61",,
"1716052886.981",,"67.29",
"1716052886.997","87.07",,
"1716052887.029",,"69.07",
"1716052887.045","91.13",,
"1716052887.076",,"69.72",
"1716052887.093","91.98",,
"1716052887.125",,"70.66",
"1716052887.14","95.53",,
"1716052887.173","88.57","72.54",
"1716052887.205",,"73.92",
"1716052887.221","91.2",,
"1716052887.252",,"75",
"1716052887.268","92.19",,
"1716052887.3",,"76.26",
"1716052887.317","91.64",,
"1716052887.349",,"77.73",
"1716052887.365","90.03",,
"1716052887.396",,"78.87",
"1716052887.413","88.59",,
"1716052887.445",,"79.72",
"1716052887.46","90.52",,
"1716052887.492",,"80.76",
"1716052887.493","90.17",,
"1716052887.524",,"82",
"1716052887.54","89.82",,
"1716052887.573",,"83.14",
"1716052887.589","91.1",,
"1716052887.62",,"84.17",
"1716052887.636","91.83",,
"1716052887.668",,"85.33",
"1716052887.685","92.25",,
"1716052887.716",,"86.47",
"1716052887.732","87.65",,
"1716052887.764",,"87.47",
"1716052887.781","90.96",,
"1716052887.812",,"88.64",
"1716052887.813","91.15",,
"1716052887.844",,"89.55",
"1716052887.86","90.43",,
"1716052887.893",,"90.27",
"1716052887.908","92.78",,
"1716052887.94",,"91.35",
"1716052887.956","88.21",,
"1716052887.989",,"92.28",
"1716052888.004","89",,
"1716052888.036",,"93.03",
"1716052888.052","90",,
"1716052888.085",,"93.61",
"1716052888.1","89.72",,
"1716052888.132",,"93.89",
"1716052888.148","89.73",,
"1716052888.165",,"94.17",
"1716052888.18","89",,
"1716052888.212",,"94.86",
"1716052888.228","87.44",,
"1716052888.26",,"95.68",
"1716052888.276","87.13",,
"1716052888.308",,"96.3",
"1716052888.324","89.88",,
"1716052888.356",,"96.76",
"1716052888.373","89.81",,
"1716052888.404",,"97.42",
"1716052888.42","89.04",,
"1716052888.452",,"98.12",
"1716052888.468","89.99",,
"1716052888.5","86.81","98.73",
"1716052888.532",,"99.26",
"1716052888.548","91.46",,
"1716052888.58",,"99.84",
"1716052888.596","90.43",,
"1716052888.628",,"100.23",
"1716052888.644","90.35",,
"1716052888.676",,"100.75",
"1716052888.692","90.06",,
"1716052888.724",,"101.33",
"1716052888.74","88.7",,
"1716052888.772",,"101.86",
"1716052888.788","91.57",,
"1716052888.82",,"102.41",
"1716052888.836","89.56",,
"1716052888.868",,"102.92",
"1716052888.884","86.96",,
"1716052888.916",,"103.33",
